Feature,Importance
worst area,0.13399876779411807
worst radius,0.11102979098153808
worst concave points,0.1066056982590057
mean concave points,0.10479169911135092
worst perimeter,0.1011768962611855
mean concavity,0.08316556433211515
mean perimeter,0.05497508540711813
worst concavity,0.0409384185820144
mean radius,0.035902227368873885
area error,0.03340120831192569
